Date,PM10,PM2. 5,CO,AQI,Place_vyttilla
3/28/2023,0.407905059,-0.636508031,0.729084205,-0.098812274,1
3/29/2023,0.085666274,-0.033565808,0.469185036,-0.098812274,1
3/30/2023,0.110214841,-0.0772702,0.365225369,-0.332865784,1
3/31/2023,-0.220724702,-0.487110365,0.183295951,-0.488901458,1
4/1/2023,-0.032415441,-0.359564895,-0.128583051,-0.462895512,1
4/2/2023,-0.286912611,-0.502273113,-0.284522552,-0.670943077,1
4/3/2023,-0.066286248,-0.850570359,-0.258532635,-0.488901458,1
4/4/2023,-0.50691749,-0.755580201,-0.206552801,-0.228842002,1
4/5/2023,-0.275725922,-0.540625947,0.02735645,-0.514907404,1
4/6/2023,-0.402819136,-0.346631963,0.02735645,-0.462895512,1
4/7/2023,-0.641468497,-0.190544849,-0.024623384,-0.696949023,1
4/8/2023,-0.320783418,-0.012159576,0.02735645,-0.644937132,1
4/9/2023,-0.717600129,0.921687329,-0.154572968,0.265270965,1
4/10/2023,-0.714803457,-0.336820773,0.313245535,-0.254847947,1
4/11/2023,-0.159819396,0.016382068,0.235275785,-0.332865784,1
4/12/2023,-0.051059922,0.279054383,0.287255619,-0.35887173,1
4/13/2023,0.000833884,0.477507999,0.391215286,-0.17683011,1
4/14/2023,-0.313014884,0.206362384,0.261265702,-0.202836056,1
4/15/2023,0.025382451,0.528347802,0.105326201,-0.124818219,1
4/16/2023,-0.174734981,0.269243193,0.131316118,-0.35887173,1
4/17/2023,-0.464967407,-0.034457735,0.313245535,-0.35887173,1
4/18/2023,-0.329794918,0.194767341,0.417205203,-0.17683011,1
4/19/2023,-0.159197914,-0.040701219,0.391215286,0.135241237,1
4/20/2023,-0.299963747,-0.147732383,0.417205203,-0.150824165,1
4/21/2023,-0.018742821,-0.192551683,0.287255619,-0.436889567,1
4/22/2023,-0.269511095,-0.237370983,0.235275785,-0.644937132,1
4/23/2023,-0.391321706,-0.240046762,0.183295951,-0.670943077,1
4/24/2023,-0.548867573,-0.401485434,0.209285868,-0.540913349,1
4/25/2023,-0.452227011,-0.36447049,0.235275785,-0.35887173,1
